composition,band gap
CsNi2F6,0
CsPPbO4,4.39
CsPSe4,2.44
CsPSe6,1.9
CsRb(PSe4)2,2.41
CsRb2Sb,1.5
CsRbP,0
CsSb(SO4)2,4.68
CsSbS2,2.8
CsSbSe2,1.7
CsSbTe2,0.43
CsSc(SeO3)2,5.2
CsScBr3,0
CsSmCdSe3,2.45
CsSmHgSe3,2.37
CsSn3,0
CsTa3(SeO6)2,3.88
CsTaPSe6,2.29
CsTb9(Cd2Se9)2,1.95
CsTbZnTe3,2.12
CsTiCl3,0
CsTiF4,0
CsTm9(Cd2Se9)2,2.16
CsUCuS3,0
CsVP2S7,0
CsWCl6,0
CsYCdSe3,2.54
CsYHgSe3,2.54
CsYTe3O8,3.4
CsYbCoSe3,0.95
CsYbMnSe3,1.59
CsZn2B3O7,5.69
CsZn4In5Se12,1.61
CsZn4In5Te12,1.61
CsZrPSe6,2
Cu(IrS2)2,0
Cu(NO3)2,0
Cu0.5Ge1Pb1.75S4,1.48
Cu0.96Bi2Se3I1,0.68
Cu1.8S1,2.3
Cu10Sb3,0
Cu11Sb4S13,0
Cu15Si4,0
Cu18S11,0
Cu23(Sb4S13)2,0
Cu25Se26,0
Cu2GeS3,0.53
Cu2H3ClO3,0
Cu2Hg2SF6,0
Cu2HgGeSe4,0
Cu2O,2.58
Cu2OF2,0
Cu2PHO5,0
Cu2Sb,0
Cu2Te3O8,2.64
Cu2WSe4,1.65
Cu3(BiI4)4,0
Cu3(P2O7)2,0
Cu3Bi6S10I,0.72
Cu3Hg2(Te3O8)2,2.56
Cu3Pd,0
Cu3SbSe4,0.31
Cu3Se2(ClO3)2,0
Cu4As2O9,0
Cu4H10SO12,0
Cu4Pd,0
Cu4Sn7S16,0.8
Cu4W(SCl)4,0
Cu5(Si2O7)2,0
Cu6PbO8,0
Cu7Hg6,0
Cu8O,0
Cu9O13,0
Cu9S5,0
Cu9Se4(Cl3O7)2,0
CuBS2,3.61
CuBi(PSe3)2,1.2
CuBiPbS3,0.12
CuBiPbSe3,0.07
CuBiSO,1.07
CuBiSeO,0.82
CuCN2,0
CuClO2,0
CuF,0
CuHg(SeO3)2,3.25
CuMoO4,0
CuN3,4.17
CuNi(CN)4,2.7
CuP2(HO3)2,0
CuPO4F,0
CuPS3,2.2
CuPd,0
CuPtO2,0
CuSbPbS3,1.31
CuSbS2,1.38
CuSbSe2,1.05
CuSeO3,0
Dy(Al2Cu)4,0
Dy(CoGe)2,0
Dy(CuSe)3,0.2
Dy(CuSi)2,0
Dy(CuTe)3,0.34
Dy(GeRu)2,0
Dy(InS2)3,1.22
Dy12C6I17,0
Dy12Co7,0
Dy1Te1.4,0.6
Dy1Te1.45,0.6
Dy1Te1.7,0.35
Dy2(GePt3)3,0
Dy2(MoO4)3,1.92
Dy2AlCo2,0
Dy2C,0
Dy2CdPd2,0
Dy2CuOs,0
Dy2MgIn,0
Dy2MgTl,0
Dy2Ni12P7,0
Dy2O3,5
Dy2S3,2.91
Dy2Sn5,0
Dy2Te3,0.69
Dy2Ti3Si4,0
Dy2TlCd,0
Dy2ZnIn,0
Dy3(CuGe)4,0
Dy3Al0.5Si1S7,2.22
Dy3Ga,0
Dy3GaS6,2.81
Dy3InC,0
Dy3MnB7,0
Dy4CdRh,0
Dy4GaSbS9,2.58
Dy4Sb3,0
Dy4Te3S4,1.43
Dy5Pb3,0
Dy5Sn3,0
Dy6FeTe2,0
Dy7In(CoGe3)4,0
DyAg,0
DyAgGe,0
DyAgHg2,0
DyAs,1
DyB2Rh2C,0
DyB6,3.3
DyBPd3,0
DyBiPd,0
DyBiPt,0
DyCd2,0
DyCoSi2,0
DyFeSi,0
DyGe,0
DyInAu,0
DyInCu2,0
DyInPt2,0
DyIr2,0
DyMn2,0
DyNiGe2,0
DyNiSn,0
DyPO4,6.38
DyRh,0
DyS2,0
DySiIr,0
DySn3,0
DySnRu2,0
DyYAg2,0
DyZnGa,0
DyZnRh2,0
DyZrRu2,0
DyZrSb,0
Er(Al10Cr)2,0
Er(CrSi)2,0
Er(CuGe)2,0
Er(CuTe)3,0.24
Er(InS2)3,1.28
Er(ReO4)2,0
Er(SiPd)2,0
Er2(Ga3Co)3,0
Er2(MoO4)3,0.96
Er2C3,0
Er2Fe14B,0
Er2Mg3Ru,0
Er2MnC4,0
Er2O3,5.42
Er2Se3,1.66
Er2SnAu2,0
Er2Te3,0.9
Er3Al3NiGe2,0
Er3SnC,0
Er3Te4,0.9
Er4NiB13,0
Er5Bi3,0
Er5NiPb3,0
Er5Si3,0
Er6MnBi2,0
ErAgSn,0
ErAl9(Fe2Si3)2,0
ErAlGe,0
ErB2Ir3,0
ErB2Ru3,0
ErB6,3.5
ErBPd3,0
ErBiW2O9,3.26
ErCu,0
ErCuPb,0
ErFeC2,0
ErHg2,0
ErLu3,0
ErMg2,0
ErNi4Au,0
ErNi4B,0
ErNiSn,0
ErPbAu,0
ErRu3,0
ErSe2,1.07
ErSiPd,0
ErSnAu,0
ErTe,0.9
ErTlPd,0
ErZn12,0
Eu(AlAu)2,0
Eu(AsPd)2,0
Eu(BiSe2)2,1.02
Eu(BiTe2)2,0.44
Eu(CdSb)2,0
Eu(ClO4)3,0
Eu(DySe2)2,1.8
Eu(ErSe2)2,1.7
Eu(FeSi)2,0
Eu(GaS2)2,2.25
Eu(GaSe2)2,2.16
Eu(GaTe2)2,1.7
Eu(HoSe2)2,1.8
Eu(InAs)2,0
Eu(InS2)2,1.5
Eu(InSe2)2,1.31
Eu(InTe2)2,1.22
Eu(LuSe2)2,1.7
Eu(MgBi)2,0
Eu(MnGe)2,0
Eu(Ni2B)6,0
Eu(NiAs)2,0
Eu(POs)2,0
Eu(SbS2)2,1.2
Eu(SbSe2)2,0.95
Eu(TmSe2)2,1.8
Eu(ZnGe)2,0
Eu(ZnSi)2,0
Eu1.75Ag0.5Ge1S4,2.14
Eu1.83Ta15O32,0.23
Eu2(Ga3Rh)3,0
Eu2C(NO)2,0
Eu2CuO4,0
Eu2Ga2GeS7,2.3
Eu2Ge(BO4)2,0
Eu2O3,4.5
Eu2PBr,0
Eu2ReO5,0
Eu2Se3,1.02
Eu2SnSe5,1.07
Eu2TeO2,0
Eu3(InP2)2,0.45
Eu3As2,0.6
Eu3BWO9,0
Eu3Bi4S9,1.18
Eu3P2,1.2
Eu3S4,1.7
Eu3Sb4S9,1.2
Eu3Sb4Se9,1.08
Eu3Se4,0.58
Eu3Sn,0
Eu4Te7,0.31
Eu7(Ga3Sb4)2,0.6
EuAgSb,0
EuAl2O4,2.74
EuAlO3,0
EuB(SbO4)2,3.46
EuBi3,0
EuBiW2O9,3.63
EuCd11,0
EuClO,0
EuCo8P5,0
EuCu2SnS4,1.85
EuCu9Sn4,0
EuCuSeF,0
EuCuSeO,0
EuF3,0
EuGe3Pt,0
EuH2,1.85
EuIn2(GeIr)4,0.26
EuN,1.25
EuNiGe3,0
EuO,1.12
EuPPt,0
EuPd,0
EuRhO3,0
EuS,1.65
EuSb4S7,0.98
EuSb4Te7,0.54
EuSbO3,0
EuScO3,0
EuSe,3.1
EuSeClO3,0
EuSn3,0
EuSnAu2,0
EuSnO3,0
EuSnTe2,0.6
EuTiClO3,0
EuTiO3,0
EuTl,0
EuZn,0
Fe(PdSe)2,0
Fe10O9F11,0
Fe12As5,0
Fe2B(PO4)3,3.52
Fe2Cu(PO4)3,0
Fe2O2F3,0
Fe2O3,2.2
Fe2S,0
Fe3B,0
Fe3N,0
Fe3Si,0
Fe4H15(IO8)3,2.3
Fe4O7F,0
Fe4Si2Sn7O16,0
Fe6O7F5,0
Fe6W6C,0
Fe9Co7,0
FeAg3(CN)6,0
FeAgSe2,0.23
FeAs2O7,0
FeAsSe,0.6
FeBi(SeO3)3,2.54
FeBi25O39,2.8
FeCo2Si,0
FeCoAs,0
FeCuSe2,0.15
FeCuTe2,0.16
FeI2,5.15
FeOF,0
FeP,0
FeP4,0.32
FePS,0.25
FePd3,0
FeRhO3,0
FeSn,0
Ga1As0.1P0.9,1.22
Ga0.001Te1Pb0.999,0.3
Ga0.005Te1Pb0.995,0.37
Ga0.01Te1Pb0.99,0.42
Ga0.04Te1Pb0.96,0.37
Ga0.07Te1Pb0.93,0.34
Ga0.95Hg0.05Sb0.95Te0.05,0.69
Ga0.99Hg0.01Sb0.99Te0.01,0.72
Ga0.9Hg0.1Sb0.9Te0.1,0.65
Ga1.001Sb0.999Se0.003,0.71
Ga1.001Sb0.999Te0.003,0.72
Ga1.002Sb0.998Se0.006,0.7
Ga1.002Sb0.998Te0.006,0.7
Ga1.005Sb0.995Se0.015,0.64
Ga1.005Sb0.995Te0.015,0.68
Ga1.01Cu0.99Se2.01,1.59
Ga1.01Sb0.99Se0.03,0.62
Ga1.01Sb0.99Te0.03,0.68
Ga1.02Sb0.98Se0.06,0.63
Ga1.02Sb0.98Te0.06,0.68
Ga1.05Sb0.95Se0.15,0.66
Ga1.05Sb0.95Te0.15,0.68
Ga1.1Cu0.9Se2.1,1.59
Ga1.1Sb0.9Se0.3,0.67
Ga1.1Sb0.9Te0.3,0.7
Ga1.2Cu0.8Se2.2,1.58
Ga1.5Cu0.5S2.5,2.43
Ga1.5Cu0.5Se2.5,1.76
Ga1.65Cu0.35S2.65,2.53
Ga1.65Cu0.35Se2.65,1.81
Ga1.6Cu0.4S2.6,2.45
Ga1.7Cu0.3S2.7,2.55
Ga1.85Cu0.15Se2.85,1.92
Ga1.8Cu0.2S2.8,2.65
Ga1.8Cu0.2Se2.8,1.86
Ga1.95Cu0.05S2.95,2.64
Ga1.95Cu0.05Se2.95,1.96
Ga1.99Cu0.01Se2.99,1.99
Ga1.9Cu0.1S2.9,2.6
Ga1As0.01P0.99,2.23
Ga1As0.2P0.8,2.2
Ga1As0.3P0.7,2.16
Ga1As0.4P0.6,2.1
Ga1As0.5P0.5,2
Ga1As0.6P0.4,1.91
Ga1As0.7P0.3,1.8
Ga1As0.8P0.2,1.62
Ga1As0.99P0.01,1.37
Ga1As0.9P0.1,1.5
Ga1Sb0.01As0.99,0.7
Ga1Sb0.14As0.86,0.66
Ga1Sb0.25As0.75,0.65
Ga1Sb0.35As0.65,0.68
Ga1Sb0.3As0.7,0.67
Ga1Sb0.85As0.15,1.1
Ga1Sb0.8As0.2,1.02
Ga1Sb0.95As0.05,1.28
Ga1Sb0.99As0.01,1.37
Ga2(TeO3)3,4.14
Ga2Cu1S3.5,2.42
Ga2CuSe4,0.63
Ga2GePbSe6,1.96
Ga2GeTe3,0.84
Ga2HgS4,2.79
Ga2HgSe4,1.95
Ga2NiS4,0
Ga2PbS4,2.38
Ga2PbSe4,1.83
Ga2S3,2.8
Ga2Se2O7,4.61
Ga2Si(AgS3)2,2.35
Ga2SiPbSe6,2.17
Ga2SnGeS6,2.04
Ga3CuTe5,1.09
Ga3Pt2,0
Ga3SiAg3Se8,2.3
Ga4Cu2Te7,1.08
Ga4PbS7,3.08
Ga4SnS7,3.1
Ga4SnSe7,2.55
Ga5Ge(PbS3)4,2.35
Ga5Ge(PbSe3)4,1.91
Ga5Pd13,0
Ga8Cu3Mo2,0
Ga9Rh2,0
GaAgGe3Se8,2.17
GaAgGe5Se12,2.14
GaAgGeS4,3
GaAgO2,2.2
GaAgTe2,1.1
GaAs2W,0
GaBi,0.1
GaBi25O39,2.99
GaCuGeSe4,1.38
GaCuO2,1.47
GaFe3,0
GaFeNi2,0
GaGeTe,1.1
GaHSeO4,5.51
GaP,2.74
GaSiAgSe4,2.63
GaSiRu2,0
GaTc,1.42
GaTc2W,0
Gd(CuS)3,1.62
Gd(CuSe)3,0.14
Gd(CuTe)3,0.52
Gd(InS2)3,1.13
Gd(NiGe)2,0
Gd(SiRu)2,0
Gd1.05Sc0.95Se3,1.2
Gd1.47Mn2.04In0.49S5,1.75
Gd1.87Lu2.13Se6,1.56
Gd1Mn1.95In1.05S5,1.66
Gd2(Zn2Ge)3,0
Gd2AlCo2,0
Gd2Mn4S7,1.44
Gd2O3,5.3
Gd2S3,2.55
Gd2Se3,2.2
Gd2Te3,0.74
Gd2Zn17,0
Gd2ZrS5,1.88
Gd3(AlNi3)2,0
Gd3.04Sc0.96S6,1.5
Gd3Al0.74Si0.7S7,2.34
Gd3Al7Ag2,0
Gd3Co11B4,0
Gd3ReO7,0
Gd3S4,0
Gd4GaSbS9,2.41
Gd6Ge2.5S14,2.2
Gd6Ta4Al43,0
GdAs,0.63
GdB(SbO4)2,3.48
GdB6,3.6
GdB66,1.27
GdCd2,0
GdCd4B3O10,3.8
GdGeRu,0
GdH2NO5,4.84
GdInIr,0
GdN,1.54
GdNiO3,0
GdO2,0
GdPbAu,0
GdSb,0
GdSbPd,0
GdScS3,2.1
GdSe2,0
GdTe,1.3
GdZn,0
GdZnIn,0
Ge(Bi3O5)4,3.25
Ge(SeO3)2,5.27
Ge(WO3)6,0
Ge0.01Pb0.99Se1,0.27
Ge0.01Te0.01Pb0.99Se0.99,0.23
Ge0.01Te0.99Pb0.99S0.01,0.32
Ge0.01Te1Pb0.99,0.32
Ge0.02Te0.98Pb0.98S0.02,0.34
Ge0.03Pb0.97Se0.97S0.03,0.28
Ge0.05Pb0.95Se0.95S0.05,0.29
Ge0.05Pb0.95Se1,0.28
Ge0.05Te0.95Pb0.95S0.05,0.4
Ge0.05Te1Pb0.95,0.34
Ge0.06Te0.06Pb0.94Se0.94,0.28
Ge0.15Pb0.85Se0.85S0.15,0.34
Ge0.15Te0.15Pb0.85Se0.85,0.32
Ge0.15Te1Pb0.85,0.36
Ge0.1Pb0.9Se0.9S0.1,0.32
Ge0.1Pb0.9Se1,0.3
Ge0.1Te1Pb0.9,0.35
Ge0.25Te1Pb0.75,0.44
Ge0.2Pb0.8Se1,0.35
Ge0.2Te0.2Pb0.8Se0.8,0.36
Ge0.2Te1Pb0.8,0.4
Ge0.39Te1Pb0.61,0.56
Ge0.3Pb0.7Se1,0.4
Ge0.3Te1Pb0.7,0.48
Ge0.41Te1Pb0.59,0.49
Ge0.4Te1Pb0.6,0.51
Ge2Os,0
Ge2Sb2Te5,0.5
Ge3Bi3O10.5,3.3
Ge3Sb,0
Ge40Te5.3I8,0.8
Ge5(Te4As)2,0
GeAs3,0
GeI2,1.5
GeO2,5.54
GeP,0.95
GePb2(SeO3)4,4.1
GePbS3,2.4
GePt2,0
GeRh,0
GeTe2,0.3
H2Se,0
H7Se2NO6,4.81
HPbI3,0
Hf(CoSi)2,0
Hf(CuP)2,0
Hf(VGa2)2,0
Hf(VH2)2,0
Hf2Al3C4,0
Hf2Co4P3,0
Hf2Fe,0
Hf2Ge,0
Hf2Hg,0
Hf2MnIr,0
Hf2Ni,0
Hf2OsPd,0
Hf2ReRh,0
Hf2S,0
Hf2Si,0
Hf2Tl,0
Hf3(CuSi)4,0
Hf3(NiGe)4,0
Hf3P,0
Hf3P3Pd4,0
Hf3Sb,0
Hf3Zn3N,0
Hf4Al3,0
Hf4Co4Si7,0
Hf54Os17,0
Hf5CuPb3,0
Hf5Pb,0
Hf5Sb3,0
Hf5Sb9,0
Hf5Si4,0
Hf5Sn3,0
Hf5Sn4,0
Hf5Te4,0
Hf6PbO18,0
Hf7P4,0
HfAlPd2,0
HfAs2,0
HfAsRh,0
HfB,0
HfB4Ir3,0
HfC,0
HfCo3B2,0
HfFe2,0
HfGaCo2,0
HfHg4(AsCl3)2,2.47
HfHg4(PCl3)2,3.26
HfInCu2,0
HfNi5,0
HfO2,5.55
HfOs2,0
HfPt,0
HfS2,2.9
HfSe2,2.2
HfSi,0
HfSiPt,0
HfTc,0
HfTiF6,0
HfTl3,0
HfVSi,0
HfZnNi2,0
Hg2Rh,0
Hg2Sb2O7,0
Hg3As,0
Hg3Bi2(SCl4)2,3.26
Hg3Bi2(TeCl4)2,2.8
Hg3C,0
Hg3PS3,1.98
Hg3PS4,2.03
Hg3Sb,0
Hg5AsS2I3,1.57
Hg7.5As4Cl6,1.73
Hg8Bi3As4Cl13,2.43
HgBr,2.6
HgBr2,3.59
HgBrCl,3.4
HgCl2,4.45
HgI,2.37
HgIrO3,0
HgOsPb2,0
HgPS3,2.6
HgPt,0
HgPt3,0
HgRhO3,0
HgS,2.1
HgTe,0.15
HgTeBr,2.06
HgTeI,1.85
Ho(BC)2,0
Ho(BiO3)2,0
Ho(CuO2)2,0
Ho(CuSe)3,0.16
Ho(CuTe)3,0.26
Ho(InS2)3,1.23
Ho(MnSn)6,0
Ho(NiB)2,0
Ho(SbO3)2,0
Ho(SiOs)2,0
Ho(SiPd)2,0
Ho(SiPt)2,0
Ho(SiRu)2,0
Ho10Si17,0
Ho2Au,0
Ho2B4C,0
Ho2Co17,0
Ho2CuRh,0
Ho2Ge5Rh3,0
Ho2GeS5,2.5
Ho2HfS5,1
Ho2O3,5.42
Ho2Pd2Pb,0
Ho2S3,0.5
Ho3AlC,0
Ho3GaC,0
Ho3Ge5,0
Ho3Hg,0
Ho3Ni19B10,0
Ho3P,0
Ho3Pd2,0
Ho4C7,0
Ho4Ga16Co3,0
Ho5(Ge5Rh2)2,0
Ho5Si4,0
HoAlAu2,0
HoAlB14,0
HoB2Rh3,0
HoB4,0
HoC2,0
HoCd,0
HoCd3,0
HoCdCu4,0
HoCo3,0
HoCu4Pd,0
HoGe,0
HoGeAu,0
HoInAu2,0
HoInPt,0
HoMg2,0
HoMgAu2,0
HoMgZn2,0
HoMn12,0
HoNiGe,0
HoSb2,0
HoSi,0
HoSiRu2C,0
HoTh3,0
HoTiGe,0
HoTiO3,0
HoTiSi,0
HoTlPd,0
HoZnRh,0
HoZnRh2,0
ICl2,0
In(MoSe)3,0
In(PSe2)2,1.29
In0.001Te1Pb0.999,0.3
In0.005Te1Pb0.995,0.43
In0.01Ga0.99As0.99P0.01,1.43
In0.01Ga0.99As1,1.4
In0.01Te1Pb0.99,0.53
In0.04Te1Pb0.96,0.37
In0.07Te1Pb0.93,0.32
In0.1Ga0.9As0.1P0.9,2.25
In0.1Ga0.9As0.9P0.1,1.6
In0.2Ga0.8As0.2P0.8,2.15
In0.2Ga0.8As0.8P0.2,1.58
In0.2Ga0.8As1,1.07
In0.3Ga0.7As0.3P0.7,2.05
In0.3Ga0.7As0.7P0.3,1.67
In0.3Ga0.7As1,1
In0.3Ga0.7P1,2.2
In0.4Ga0.6As0.4P0.6,1.85
In0.4Ga0.6As0.6P0.4,1.74
In0.4Ga0.6As1,0.81
In0.4Ga0.6P1,2.05
In0.4Ga1.6Cu1S3.5,2.15
In0.5Ga0.5As1,0.75
In0.5Ga0.5P1,1.9
In0.6Ga0.4As0.6P0.4,1.25
In0.72Ga0.28As1,0.55
In0.7Ga0.3As0.3P0.7,1.58
In0.8Ga0.2As0.2P0.8,1.4
In0.8Ga0.2As0.8P0.2,0.85
In0.8Ga0.2As1,0.5
In0.99Ga0.01As0.01P0.99,1.3
In0.99Ga0.01As0.99P0.01,0.3
In0.9Ga0.1As0.1P0.9,1.32
In0.9Ga0.1As0.9P0.1,0.45
In1.01Cu0.99Se2.01,1.08
In1.05Cu0.95Se2.05,1.07
In1.1Cu0.9Se2.1,1.06
In1.3Cu0.7Se2.3,1.1
In1.5Cu0.5Se2.5,1.24
In1.65Cu0.35Se2.65,1.19
In1.6Cu0.4Se2.6,1.32
In1.6Ga0.4Cu1S3.5,1.55
In1.7Cu0.3Se2.7,1.21
In1.85Cu0.15Se2.85,1.32
In1.8Cu0.2Se2.8,1.26
In1.99Cu0.01Se2.99,1.45
In1.9Cu0.1Se2.9,1.45
In11.3Bi14.7S38,1.45
In11Cu9Se20,0
In1Ag1.75Sb5.75Se11,0.94
In1Ga1Cu1S3.5,1.84
In1Hg4As2.5Br3.5,1.71
In1Sb0.01As0.99,0.17
In1Sb0.1As0.9,0.14
In1Sb0.2As0.8,0.12
In1Sb0.3As0.7,0.11
In1Sb0.4As0.6,0.1
In1Sb0.5As0.5,0.1
In1Sb0.6As0.4,0.13
In1Sb0.7As0.3,0.16
In1Sb0.8As0.2,0.21
In1Sb0.99As0.01,0.35
In1Sb0.9As0.1,0.27
In2As2Cl2O5,4.62
In2B(PO4)3,5.39
In2Bi3Se7I,1.38
In2Co,0
In2Cu1S3.5,1.43
In2FeSe4,1.15
In2GeTe3,0.68
In2Hg6(P2Cl3)3,3.13
In2HgS4,2
In2HgSe4,0.6
In2O3,2.8
In2Pt,0
In2S3,2
In2Se2O7,2.97
In2Te,0.46
In3AgTe5,0.68
In3Au10,0
In3Bi7(Pb2S9)2,0
In3CuS5,1.2
In3CuSe5,0.6
In3Pd5,0
In3Sb,0
In4As5(BrO4)3,4.22
In4Bi3S10,1.42
In4Cu2Te7,1.1
In4S5,0.9
In4Se3,0.64
In5AgS8,1.76
In5AgTe8,0.47
In5CuS8,1.34
In5Se6,0.14
In9AgTe14,1.5
InAg3,0
InAgO2,4.2
InAgTe2,0.93
InAsI,0.41
InAu3,0
InBi2S4Br,1.5
InBi2S4Cl,1.5
InBi2Se4Br,1.21
InCuGeSe4,1.3
InCuS2,1.5
InFe2CuSe4,0
InHg7S6Cl5,2.54
InHgW2,0
InPS4,3.12
InPt,0
InPt3C,0
InSb2S4Br,1.8
InSb2S4Cl,1.8
InSb2Se4Br,1.35
InSiIr,0
InSiTe3,0
InSn2As2Se,0.2
InSnAsSe,0.26
Ir0.67S2,2
Ir0.67Se2,0.45
IrPb,0
IrS2,0.9
IrSe2,0.9
IrSeS,1.2
K(CoSe)2,0
K(FeAs)2,0
K(GeSe2)2,1.8
K(OsO3)2,0
K0.8Sn2Hg1.2S8,2.78
K1.25Bi7.25Pb3.5Se15,0.53
K1.46Sn3.09Bi7.45Se15,0.39
K1.83Cd1.83Bi2.17S6,1.37
K10Fe4Sn4S17,2.2
K10Mn4Sn4S17,2.3
K10Sn3(PSe3)8,1.82
K10Zn4Ge4S17,3.34
K11Mn4O16,0
K2.15Sb8.15Pb1.7Se15,0.6
K2Ag3Sb3S7,2.2
K2AgSnSe4,1.8
K2Al2B2O7,6.89
K2Au(IO3)5,2.65
K2B10H9O,0
K2BaNb2S11,1.77
K2Cd(PSe3)2,2.58
K2Cd2Te3,1.93
K2Cd3S4,2.75
K2Cd3Se4,2.36
K2Cd3Te4,2.26
K2Ce(PO4)2,2.46
K2Dy2Ti3O10,3.38
K2FeGe3Se8,1.95
K2Ga3CuSe6,1.72
K2Gd2Sb2Se9,1.33
K2Gd2Ti3O10,3.3
K2Ge2PbS6,2.85
K2Ge3(BO5)2,5.38
K2Hg(PSe3)2,2.25
K2Hg3(GeS4)2,2.64
K2Hg3Se1.31S2.69,2.28
K2Hg3Se2.97S1.03,2.11
K2Ho4Cu4S9,2.43
K2In2P3Se10,2.2
K2In3AgSe6,1.64
K2In3CuSe6,1.68
K2La2Sb2S9,2.2
K2La2Ti3O10,3.05
K2Mn(SnSe3)2,2
K2Mn3S4,0
K2MnSnSe4,1.7
K2Mo2Se2O11,3.3
K2NbCuS4,2.82
K2NbCuSe4,2.14
K2NbO6,0
K2Nd2Ti3O10,3.25
K2PAuS4,2.63
K2PdSe10,1.48
K2RbSb,1.2
K2ReH9,5.71
K2RuCl6,0
K2S,2.1
K2Sb8Se3,1.31
K2Se,1.8
K2Sm2Ti3O10,3.26
K2SmP2S7,2.59
K2Sn(AuS2)2,2.75
K2Sn3(SbS5)2,2.3
K2Ta15O32,0.33
K2Te,1.9
K2TeI6,1.38
K2Th(CuS2)2,2.17
K2Ti(CuS2)2,2.04
K2VAgS4,1.85
K2VCuS4,1.82
K2Zn(SnSe3)2,1.71
K2ZnTe2,3
K3(FeS2)2,0
K3B6ClO10,6.89
K3Bi2I9,2.1
K3Cd(BO2)5,3.47
K3Cr2(PS4)3,1.35
K3Ga3Ge7S20,3.25
K3Ga3Ge7Se20,2.23
K3Hg,0
K3LiNb6O15,0
K3NaSn3Se8,2.2
K3Nb2AsSe11,1.53
K3Sm(AsS4)2,2.2
K3Sn,0
K3Ta2AsS11,2.21
K3Ta2AsSe11,1.45
K3Th2Cu3S7,2.49
K3Ti2P5S18,1.61
K3UF3,0
K3V,0
K4(ZrSe5)3,1.81
K4Ag9(SbS3)4,2
K4Al4Si19,1.4
K4C2O3,0
K4Ce3Sn3S14,2.46
K4Ga4Si19,1.18
K4Ge(PSe3)4,2
K4GeS4,0.8
K4GeSe4,0.64
K4Hf3Se14,2.02
K5In3P6Se19,2.2
K6Cd4Sn3Se13,2.33
K6CdTe4,2.51
K6Ta1.03Nb2.97S25,2.01
K6Ta2.93Nb1.07S22,1.88
K6Yb3(PS4)5,2.6
K8Ce2I18O53,2.34
K8N3O,0
K9Bi13S24,1.4
KAg2,0
KAg2AsS3,2.25
KAg2PS4,3.02
KAg2SbS3,2.1
KAg2SbS4,2.2
KAgAsS2,2.21
KAgF3,0
KAgO,0
KAlGeS4,3.5
KAsSe2,1.62
KAu(IO3)4,2.75
KB5PbO9,3.1
KBaAsSe3,2.26
KBaB5O9,3.65
KBaSbSe3,2.04
KBi2,0
KBi3S5,1.21
KBiO3,0
KBiS2,0.86
KBiSe2,0.61
KBr,7.6
KC60,0
KCd4Ga5Se12,2.16
KCeSe4,1.54
KCl,8.5
KCoO2,0
KCu2BiS3,1.29
KCu3S2,1.46
KCu4AsS4,1.9
KCuPO4,0
KCuSnS3,1.47
KCuSnSe3,1.04
KEuAsS4,1.89
KEuS2,0
KF,10.3
KFe2BiO5,1.76
KFeCuTe2,1.06
KGaSe2,2.6
KGaSnSe4,1.73
KH(CN2)3,0
KHg,0
KHg11,0
KHg2,0
KIn(TeO3)2,4
KInGeS4,3.1
KInS2,3
KInSe2,2.68
KInSnS4,2.3
KLi(WO3)3,0
KLiCO3,6.32
KLu,0
KMo6S7,0
KNb2O5,0
KNb2Se,0
KNb3(SeO6)2,3.46
KNb3(TeO6)2,3.52
KNbSe2O7,4
KP(HO2)2,6.95
KPAu5S8,2.14
KPPbO4,4.44
KPSe3,2.08
KPSe6,2.16
KRbBi8Se13,0.64
KRuO4,0
KSb,0.9
KSb(SO4)2,4.64
KSc(SeO3)2,5.4
KScO3,0
KSi2P3,1.72
KSiBiS4,2.25
KSm2CuS4,2.17
KSnAuS3,2.3
KSnAuSe3,2.28
KTa3(TeO6)2,4.06
KTa3CuO9,0
KTaO3,3.5
KTbSe4,1.65
KTeP2,1.4
KThCuS3,2.95
KTi2F7,6.4
KTi5Se8,0
KTm,0
KUClO3,2.37
KUCuSe3,0
KV2I3O13,2.3
KV4Ag11O16,2
KV6O11,0
KY(TeO3)2,3.8
KYb2F7,0
KYbSe2,0
KZn4(BO3)3,2.32
KZrPSe6,2
La(FeAs3)4,0
La(In2Au)2,0
La(InS2)3,1.03
La(Ni2B)6,0
La(PRu)2,0
La(SiOs)2,0
La(SiRu)2,0
La1.86Tb1.14Ga1.67S7,2.67
La10Mn9O30,0
La10Se14O,2.04
La10Si8O3,0
La16Mn15O48,0
La1Se0.14S1.86,2.5
La2.1Bi5.9Pb2S14,1
La20Cu9O40,0
La20Mo12Cl4O63,2.4
La2B4Rh5,0
La2CuO4,0
La2Fe(SeO)2,0.7
La2Fe2I,0
La2Ga0.33Sb1S5,1.76
La2Ga2GeS8,2.78
La2Ge2Se7,1.08
La2Ge5Ir3,0
La2Ge5Rh3,0
La2GeSe5,1.24
La2HfS5,0.7
La2In,0
La2Mn(SeO)2,1.6
La2Nb2N2O5,0
La2Ni5B4,0
La2O3,5.4
La2PC,0
La2PI2,0
La2PdO4,0
La2Pr2O7,0
La2Rh7,0
La2S3,2.77
La2Si5Rh3,0
La2Sn5Rh3,0
La2TiCoO6,1.02
La2V2IO9,3.63
La2VCoO6,0.41
La2VNiO6,0.45
La2YbCuS5,1.45
La2YbCuSe5,1.15
La2Zn(SeO)2,3.4
La2ZrS5,2.01
La3(BN2)2,0
La3(OsO5)2,0
